UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO
010202,Amazonas,BAGUA,ARAMANGO
010201,Amazonas,BAGUA,BAGUA
010203,Amazonas,BAGUA,COPALLIN
010204,Amazonas,BAGUA,EL PARCO
010205,Amazonas,BAGUA,IMAZA
010206,Amazonas,BAGUA,LA PECA
010302,Amazonas,BONGARA,CHISQUILLA
010303,Amazonas,BONGARA,CHURUJA
010304,Amazonas,BONGARA,COROSHA
010305,Amazonas,BONGARA,CUISPES
010306,Amazonas,BONGARA,FLORIDA
010307,Amazonas,BONGARA,JAZAN
010301,Amazonas,BONGARA,JUMBILLA
010308,Amazonas,BONGARA,RECTA
010309,Amazonas,BONGARA,SAN CARLOS
010310,Amazonas,BONGARA,SHIPASBAMBA
010311,Amazonas,BONGARA,VALERA
010312,Amazonas,BONGARA,YAMBRASBAMBA
010102,Amazonas,CHACHAPOYAS,ASUNCION
010103,Amazonas,CHACHAPOYAS,BALSAS
010101,Amazonas,CHACHAPOYAS,CHACHAPOYAS
010104,Amazonas,CHACHAPOYAS,CHETO
010105,Amazonas,CHACHAPOYAS,CHILIQUIN
010106,Amazonas,CHACHAPOYAS,CHUQUIBAMBA
010107,Amazonas,CHACHAPOYAS,GRANADA
010108,Amazonas,CHACHAPOYAS,HUANCAS
010109,Amazonas,CHACHAPOYAS,LA JALCA
010110,Amazonas,CHACHAPOYAS,LEIMEBAMBA
010111,Amazonas,CHACHAPOYAS,LEVANTO
010112,Amazonas,CHACHAPOYAS,MAGDALENA
010113,Amazonas,CHACHAPOYAS,MARISCAL CASTILLA
010114,Amazonas,CHACHAPOYAS,MOLINOPAMPA
010115,Amazonas,CHACHAPOYAS,MONTEVIDEO
010116,Amazonas,CHACHAPOYAS,OLLEROS
010117,Amazonas,CHACHAPOYAS,QUINJALCA
010118,Amazonas,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
010119,Amazonas,CHACHAPOYAS,SAN ISIDRO DE MAINO
010120,Amazonas,CHACHAPOYAS,SOLOCO
010121,Amazonas,CHACHAPOYAS,SONCHE
010402,Amazonas,CONDORCANQUI,EL CENEPA
010401,Amazonas,CONDORCANQUI,NIEVA
010403,Amazonas,CONDORCANQUI,RIO SANTIAGO
010502,Amazonas,LUYA,CAMPORREDONDO
010503,Amazonas,LUYA,COCABAMBA
010504,Amazonas,LUYA,COLCAMAR
010505,Amazonas,LUYA,CONILA
010506,Amazonas,LUYA,INGUILPATA
010501,Amazonas,LUYA,LAMUD
010507,Amazonas,LUYA,LONGUITA
010508,Amazonas,LUYA,LONYA CHICO
010509,Amazonas,LUYA,LUYA
010510,Amazonas,LUYA,LUYA VIEJO
010511,Amazonas,LUYA,MARIA
010512,Amazonas,LUYA,OCALLI
010513,Amazonas,LUYA,OCUMAL
010514,Amazonas,LUYA,PISUQUIA
010515,Amazonas,LUYA,PROVIDENCIA
010516,Amazonas,LUYA,SAN CRISTOBAL
010517,Amazonas,LUYA,SAN FRANCISCO DEL YESO
010518,Amazonas,LUYA,SAN JERONIMO
010519,Amazonas,LUYA,SAN JUAN DE LOPECANCHA
010520,Amazonas,LUYA,SANTA CATALINA
010521,Amazonas,LUYA,SANTO TOMAS
010522,Amazonas,LUYA,TINGO
010523,Amazonas,LUYA,TRITA
010602,Amazonas,RODRIGUEZ DE MENDOZA,CHIRIMOTO
010603,Amazonas,RODRIGUEZ DE MENDOZA,COCHAMAL
010604,Amazonas,RODRIGUEZ DE MENDOZA,HUAMBO
010605,Amazonas,RODRIGUEZ DE MENDOZA,LIMABAMBA
010606,Amazonas,RODRIGUEZ DE MENDOZA,LONGAR
010607,Amazonas,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
010608,Amazonas,RODRIGUEZ DE MENDOZA,MILPUC
010609,Amazonas,RODRIGUEZ DE MENDOZA,OMIA
